osm_id,amenity,Final_Name,GAPA_NAPA_min,Long,Lat
5046072853,school,Shri Sila Devi Ma. Vi,Belkotgadhi,85.042318,27.85146
4969579345,school,Shree Chipleti Pra Vi,Uttargaya,85.208176,28.056387
7940743986,school,Chandeshwori Higher Secondary School,Bidur,85.169397,27.964749
5055276919,school,Shri Ganeshman Singh Memorial Primary School,Tarkeshwar,85.02767,27.849136
4969595164,school,Shree Simle Pra Vi,Uttargaya,85.190789,28.029756
9794119187,school,"Shree Rastriya Aardharbhut School, Fishling",Ichchhyakamana,84.661484,27.842489
9794119213,school,"Green Field Secondary English School, Muglin",Ichchhyakamana,84.56153,27.857688
4941869402,school,Shri Aadarsha Bahumukhi Campus,Gajuri,84.877341,27.807084
4941743504,school,Shri Adarsha Uchha Ma V,Gajuri,84.879326,27.807585
4939797039,school,Shri Chandrodaya Ma Vi,Benighat Rorang,84.781624,27.812166
5055871471,school,Shree Mandredhunga Pra V,Bidur,85.129896,27.886485
4563086889,school,,Bidur,85.145188,27.917893
4941662039,school,Shri Buddhi Bikash Pra V,Benighat Rorang,84.748677,27.803501
5055300883,school,Shri Chandi Ni.Ma.Vi.,Bidur,85.080635,27.857647
,,Shree Bhadrakali Gurukul Saskriti Bidhyalaya,Gajuri,84.835907,27.807022
,,Shree Baludaya Pra Vi,Uttargaya,85.208105,28.073383
,,Shree Pimaltar Uchcha Ma.Vi.,Tarkeshwar,85.0193,27.839041
,,Shree Mahadev Uchha Ma V,Belkotgadhi,85.014091,27.810527
,,Shree Chetana Primary School,Bidur,85.171365,27.96187
,,Gosaikunda English Reading School,Gosaikunda,85.338742,28.1642
,,Shree Sankhadevi Secondary School,Benighat Rorang,84.705114,27.806086
,,Rising Star English Boarding School,Benighat Rorang,84.739369,27.801527
